Name,Occurences,AvgLaunchAngle,MaxExitVelo,AvgExitVelo,ExitVeloFBLD,ExitVeloGB,MaxDist,AvgDist,AvgHRdist,HardHit95,HardHitPct,NumBarrels,BarrelPct,Barrels/PA
"Bader, Harrison",260,12.6,113.6,86,91.6,81.7,431,177,403,80,30.8,18,6.9,4.2
,,,,,,,,,,,,,,
"LeMahieu, DJ",460,5.7,109.3,91.1,93.2,89.6,439,163,399,197,42.8,24,5.2,4.1
,,,,,,,,,,,,,,
"Bauers, Jake",227,11.3,110,86.8,93.1,81.8,420,171,397,71,31.3,16,7,4.1
,,,,,,,,,,,,,,
"Flowers, Tyler",176,12.8,110.5,90,91.8,89.1,448,186,400,78,44.3,12,6.8,4.1
,,,,,,,,,,,,,,
"Murphy, Daniel",291,16.3,106.9,87.6,89.4,87.2,425,195,394,83,28.5,14,4.8,4
,,,,,,,,,,,,,,
"Walker, Neil",264,13.1,107,87.5,92.4,82,436,192,402,88,33.3,16,6.1,4
,,,,,,,,,,,,,,
